,SGD=X,JPY=X,INR=X,MYR=X,GBPUSD=X,ZAR=X,NZDUSD=X,AUDUSD=X,CNY=X,PHP=X,MXN=X,IDR=X,EURUSD=X,THB=X,HKD=X
2021-01-04 23:00:00+00:00,0.0008489261197535125,0.00010669240306460104,0.0,0.0,-0.00037985904121173864,-0.0005484119708054624,0.0007180141476363922,-1.5308430686977736e-05,1.550089824009504e-05,-0.00020816826540337452,-0.0006140077130536437,0.0,-0.00012245394992282943,0.0010710005441816328,-5.15994951736376e-05
2021-01-05 00:00:00+00:00,-0.0006968019516958579,-6.784084345778929e-05,0.0,0.0019979761812467522,4.067072794189386e-05,0.00019712682465500286,-0.000645782278074214,0.00025317579033323767,0.0,-0.00037487622292542433,-0.0007623845636498539,0.0,0.0003677959393033614,0.00013371589981514553,3.610305916534884e-05
2021-01-05 01:00:00+00:00,-3.0265796938877543e-05,5.815323955715712e-05,0.0,-0.0004984683448830962,4.0669073900989616e-05,-0.0023337420315516777,0.0005744365438655752,0.0005834465719483095,-1.550065796607214e-05,0.00041665885216080056,-0.001194665919114657,0.0,0.00012261839773830552,-0.00016717034543434206,-0.00010320058978086077
2021-01-05 02:00:00+00:00,-0.00098524926896848,-0.00012606534090897625,-0.0010400492574679232,-0.0014962697304740091,0.001046197925610226,-0.0019624283892991645,0.0033138145890854176,0.0027867204242590926,-0.00368419444267698,0.00010414118907942083,-0.0023620908290161724,0.0,0.0011046942310011243,-0.0019390411082071957,1.0333425821684727e-05
2021-01-05 03:00:00+00:00,0.0002731212513655823,-0.00075648741229839,0.001274004517390681,0.0,-5.431279572620795e-05,-0.0001495599668401848,0.0013707073866127129,0.0002617848071588824,0.002579107980698936,0.00010413034482148475,0.0008639806080936729,0.002317474145683507,0.00012275943395101407,0.0004689625385823071,1.2916648803873443e-06
2021-01-05 04:00:00+00:00,0.0007735719749231151,-0.00038815621503096587,0.0007798816220911942,0.000949029754327757,0.00019023673153650833,0.0007231658108823869,-0.00043270167041686847,-7.702091462302718e-05,0.000805911574962348,0.00010404008291131639,-0.0005109136512727597,-0.0011278101151880326,-0.00036813598988139073,0.0012723107802523614,1.2916632119441829e-06
2021-01-05 05:00:00+00:00,-0.0008563605390797813,-0.0003980849845514056,-0.00039646901627499176,-7.483670963093214e-05,0.0007478180233442266,-0.0008781693159898296,0.0015166406426296852,0.0016040163578703304,0.0,0.0,-0.0013999197603454805,0.0009854393840045272,0.0004910611330795067,-0.00043472623249463105,-1.8083261610235546e-05
2021-01-05 06:00:00+00:00,-0.0002958553932620456,-0.0003205808456574477,-0.00034194798070685817,0.00012469752224353314,0.0006260180683488326,0.0005217634497376444,-0.0005774117132043566,0.00047842474440606964,9.288651718986074e-05,0.0006869901722525995,-0.0005521925342723,0.0,-0.0003681879047746639,-0.0004014799116155432,1.2916849014832366e-06
2021-01-05 07:00:00+00:00,0.0012063835762516906,0.00029147667927120757,0.0007388268873698145,0.0,-0.002849355537332454,0.010036120974016516,-0.0015134020230335166,-0.0015177121003818739,0.0005109760550758846,-0.0003120322393106445,0.0058402491772924225,0.0,-0.0006132897380231039,0.00133871876341507,-2.9647205634031337e-05
2021-01-05 08:00:00+00:00,-0.0006971393437641416,-0.0004176713827369616,0.0012441679626749025,0.0007485677336611651,-0.00048815473556218514,0.0027620082748749386,0.0015878994436768767,0.0012728205955077065,0.0003558992758561086,-0.00020813934381336274,0.0009983083104048163,-0.00021535922051174605,0.0009822156378329616,0.0010026967436165268,4.644046449331363e-05
2021-01-05 09:00:00+00:00,0.00012131834530482166,-0.0007482081038678867,-0.0008602927495593438,0.0007478889167997771,0.0007327655279529832,0.0019834512295631157,-0.0004328648643292521,0.00016968943356410193,-0.0004950425665791736,0.000603666238232714,-0.000339797450133128,0.0,-0.0002454586031832573,-0.0005008780171930072,2.31884000920779e-05
2021-01-05 10:00:00+00:00,-0.0003336301747025594,0.0003987198821440163,0.0009566459523711046,0.0,0.0010597819809305964,-0.00025561914709937295,0.0001443232351403534,0.0003164526400734058,0.0004024443642622888,-4.165902587227599e-05,-0.0007429321053759042,0.0,0.0004912319754140082,0.0001670642460149807,1.808284229798396e-05
2021-01-05 11:00:00+00:00,1.5190619213845125e-05,-0.0005443687206624359,-0.0002866674131963842,0.0,0.0005300758602522215,0.0031486728723038038,-0.0012971522782765366,-0.0005553160856842654,-0.00040228246795015465,0.0003744707297839156,0.0006370810244964442,0.0,0.0006143694500835295,0.0003340089747312369,-3.4811917238641854e-05
2021-01-05 12:00:00+00:00,0.00010615188127993669,0.0007197149812916415,0.0004370014117625054,0.0,-0.0005977624425752559,0.007037364608746932,0.0,-0.0009555352693747521,0.0004643645589470502,-6.234876359467734e-05,0.0037100829953926606,0.0,-0.000859433904789042,0.0006677312155458637,-1.6791491622036858e-05
2021-01-05 13:00:00+00:00,0.0006371149136694676,0.00024299512964209846,-0.00010915055558990971,0.0,-0.0012481893400734245,0.002178445275128782,-0.0016548097332719225,-0.0014773330437299892,-0.0008354239833886501,-0.00045757009179736574,0.003996000093747787,0.001061671986479329,-0.000981251836934094,-0.00020015387346106195,6.452223621389308e-05
2021-01-05 14:00:00+00:00,-0.0005457249766577243,-0.0009425357161285675,-0.001365364185480833,0.0,0.0024208620265038228,-0.0018148789271622556,0.0025245203138017924,0.002336832488091467,3.0934686761519004e-05,8.325429202105106e-05,-0.007164229071997097,0.0,0.00024540812245477106,-0.0010345793820226712,-3.7394650719835276e-05
2021-01-05 15:00:00+00:00,-0.00030338626441273053,-0.0002626066398890847,-4.0991895391195854e-05,0.0,-0.0003942489093732293,-0.0013002228454594977,0.001878891994987919,0.002133147972581906,-0.0005883314870301914,-0.0004993254503612432,-0.0019326767845863069,-0.0030124802754267765,0.0009824604907269219,-0.00010023249733825956,7.866701782877072e-05
2021-01-05 16:00:00+00:00,-0.00040964149586952825,-0.0008463662327558019,5.4762410413911056e-05,0.0,0.0017842020430813843,0.00024532899069007463,0.0023904616439862636,0.0030466516754386053,0.0,0.0002913922260048274,0.00030471717898183925,0.0,0.0014757874466138077,-0.0005011489975108585,1.9311571979763187e-05
2021-01-05 17:00:00+00:00,-0.0003187104665134388,-0.0004966018615475409,5.4655108015388976e-05,0.0,0.0011316524296172137,-0.00042253099498101854,0.0016688060561178553,0.001661746064319125,0.0,-0.0001872463264717128,0.00046832883193870245,0.003021582733812922,0.0003691059126542662,-0.0001671759305424958,-6.186963772114584e-05
2021-01-05 18:00:00+00:00,0.00015945128487238058,-5.841780069182345e-05,-0.00019138672143281799,0.0,-0.0004224583104377455,-0.0014808188841318737,0.0003629259851964939,0.00033405455958379626,0.0,-0.0004162426239590067,-0.0022691641698269205,0.0,-0.0006147880507294534,0.0,1.6729207455545847e-05
2021-01-05 19:00:00+00:00,-0.00028085010358624984,-0.0001169167543045857,-1.3665645672511495e-05,0.0,-0.0001363598633882246,7.749706759252462e-05,-0.00043530391086199494,0.0006762499305563718,0.0,0.0,-0.002041464184224684,0.0,0.0009846538078015499,-0.0003343439964175188,2.3248289082733464e-05
2021-01-05 20:00:00+00:00,0.00028853146264551377,0.0006235298210495177,-0.00041018361141220705,0.0,-0.0001226443879607242,0.00029105311881783,0.00014508234121168861,-0.0006757929256373529,0.0,0.00020824768862515164,0.0016012617889078484,0.0,-0.0008608698524210645,0.0,2.576932981113167e-05
2021-01-05 21:00:00+00:00,-3.0401068814689403e-05,-9.731939303647685e-06,0.0,0.0,-6.797887178167095e-05,-0.0003737839925730402,-0.00029012259075855695,-0.0007374063125663577,0.0,0.000208124923868791,1.1034132313181289e-05,0.0,0.000615284512619052,0.00033445581971291993,-4.514129039390191e-05
